Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,3.400000,3.430000,3.350000,3.380000,3.365917,18067200
2020-04-23,3.370000,3.450000,3.360000,3.390000,3.375875,23344700
2020-04-24,3.400000,3.410000,3.310000,3.390000,3.375875,16364200
2020-04-27,3.410000,3.460000,3.400000,3.460000,3.445583,12403700
2020-04-28,3.480000,3.490000,3.390000,3.410000,3.395792,26159500
2020-04-29,3.490000,3.550000,3.420000,3.510000,3.495375,22155600
2020-04-30,3.690000,3.700000,3.560000,3.580000,3.565083,55906500
2020-05-01,3.530000,3.630000,3.460000,3.600000,3.585000,32805500
2020-05-04,3.560000,3.590000,3.500000,3.550000,3.535208,23352900
2020-05-05,3.490000,3.540000,3.460000,3.460000,3.445583,20014700
2020-05-06,3.560000,3.570000,3.460000,3.460000,3.445583,19892300
2020-05-07,3.550000,3.580000,3.520000,3.550000,3.535208,14401100
2020-05-08,3.560000,3.590000,3.540000,3.580000,3.565083,17414200
2020-05-11,3.580000,3.590000,3.550000,3.570000,3.555125,14346000
2020-05-12,3.600000,3.630000,3.560000,3.570000,3.555125,16924300
2020-05-13,3.570000,3.580000,3.400000,3.440000,3.425667,27715800
2020-05-14,3.340000,3.420000,3.280000,3.420000,3.405750,24552500
2020-05-15,3.460000,3.490000,3.410000,3.450000,3.435625,15698800
2020-05-18,3.580000,3.690000,3.570000,3.650000,3.634792,25647700
2020-05-19,3.660000,3.740000,3.650000,3.690000,3.674625,21212800
2020-05-20,3.740000,3.830000,3.730000,3.820000,3.804083,22489500
2020-05-21,3.880000,3.890000,3.760000,3.770000,3.754292,20947700
2020-05-22,3.800000,3.860000,3.780000,3.850000,3.833958,18401500
2020-05-26,3.900000,3.920000,3.850000,3.850000,3.833958,17394000
2020-05-27,3.910000,3.930000,3.830000,3.910000,3.893708,25093200
2020-05-28,3.940000,3.980000,3.910000,3.920000,3.903667,22178900
2020-05-29,3.960000,3.980000,3.900000,3.950000,3.933542,21054000
2020-06-01,4.140000,4.220000,4.120000,4.200000,4.182500,39432800
2020-06-02,4.270000,4.340000,4.260000,4.310000,4.292042,36621500
2020-06-03,4.320000,4.400000,4.310000,4.370000,4.351791,32103100
2020-06-04,4.330000,4.380000,4.280000,4.280000,4.262167,38453700
2020-06-05,4.440000,4.500000,4.410000,4.460000,4.441417,33115900
2020-06-08,4.520000,4.540000,4.470000,4.520000,4.501167,38203500
2020-06-09,4.510000,4.510000,4.390000,4.420000,4.401583,35176900
2020-06-10,4.450000,4.510000,4.410000,4.450000,4.431458,34982300
2020-06-11,4.310000,4.320000,4.070000,4.110000,4.092875,49802300
2020-06-12,4.280000,4.310000,4.110000,4.200000,4.182500,38508100
2020-06-15,4.150000,4.290000,4.100000,4.280000,4.262167,39958300
2020-06-16,4.400000,4.430000,4.300000,4.340000,4.321917,36960900
2020-06-17,4.420000,4.440000,4.380000,4.410000,4.391625,31784500
2020-06-18,4.390000,4.410000,4.350000,4.370000,4.351791,26224100
2020-06-19,4.420000,4.420000,4.300000,4.330000,4.311958,21062200
2020-06-22,4.310000,4.370000,4.290000,4.330000,4.311958,20886700
2020-06-23,4.390000,4.410000,4.330000,4.330000,4.311958,20228600
2020-06-24,4.310000,4.320000,4.170000,4.200000,4.182500,36423100
2020-06-25,4.180000,4.450000,4.150000,4.450000,4.431458,43493900
2020-06-26,4.420000,4.440000,4.330000,4.340000,4.321917,40939600
2020-06-29,4.360000,4.410000,4.310000,4.350000,4.331875,30304200
2020-06-30,4.300000,4.410000,4.300000,4.400000,4.381667,21533700
2020-07-01,4.360000,4.410000,4.340000,4.350000,4.331875,24728800
2020-07-02,4.430000,4.500000,4.430000,4.440000,4.421500,26431200
2020-07-06,4.630000,4.750000,4.590000,4.600000,4.580833,56523000
2020-07-07,4.570000,4.580000,4.300000,4.310000,4.292042,59104900
2020-07-08,4.160000,4.210000,4.110000,4.150000,4.132709,56456500
2020-07-09,4.140000,4.210000,4.060000,4.170000,4.152625,37914500
2020-07-10,4.110000,4.160000,4.090000,4.120000,4.102833,25485100
2020-07-13,4.240000,4.310000,4.180000,4.180000,4.162583,37504700
2020-07-14,4.240000,4.330000,4.240000,4.320000,4.302000,38867000
2020-07-15,4.390000,4.400000,4.280000,4.330000,4.311958,29809700
2020-07-16,4.270000,4.290000,4.230000,4.240000,4.222333,21948700
2020-07-17,4.360000,4.470000,4.340000,4.390000,4.371708,50071100
2020-07-20,4.400000,4.480000,4.400000,4.450000,4.431458,30552900
2020-07-21,4.510000,4.520000,4.430000,4.430000,4.411541,26432000
2020-07-22,4.470000,4.550000,4.450000,4.500000,4.481250,23368000
2020-07-23,4.480000,4.490000,4.300000,4.370000,4.351791,35977300
2020-07-24,4.340000,4.360000,4.290000,4.300000,4.282084,22774400
2020-07-27,4.330000,4.370000,4.320000,4.340000,4.321917,21065900
2020-07-28,4.310000,4.330000,4.260000,4.280000,4.262167,19863400
2020-07-29,4.310000,4.360000,4.300000,4.340000,4.321917,15453400
2020-07-30,4.220000,4.530000,4.160000,4.450000,4.431458,58415900
2020-07-31,4.860000,4.950000,4.640000,4.780000,4.760084,117875600
2020-08-03,4.960000,5.130000,4.940000,5.060000,5.038917,62489200
2020-08-04,5.040000,5.140000,5.010000,5.100000,5.078750,42735100
2020-08-05,5.070000,5.100000,4.990000,5.000000,4.979167,36259200
2020-08-06,4.970000,5.010000,4.950000,5.000000,4.979167,30262600
2020-08-07,4.950000,4.990000,4.930000,4.980000,4.959250,21405300
2020-08-10,4.960000,4.970000,4.880000,4.910000,4.889542,21177600
2020-08-11,4.950000,5.050000,4.920000,4.960000,4.939333,40259300
2020-08-12,5.060000,5.080000,5.010000,5.050000,5.028958,21654000
2020-08-13,5.030000,5.080000,5.000000,5.060000,5.038917,21989500
2020-08-14,5.010000,5.020000,4.970000,5.000000,4.979167,18991900
2020-08-17,5.040000,5.090000,5.010000,5.070000,5.048875,24050200
2020-08-18,5.130000,5.140000,5.030000,5.090000,5.068792,18338100
2020-08-19,5.100000,5.110000,5.010000,5.040000,5.019000,20351200
2020-08-20,4.990000,5.060000,4.990000,5.050000,5.028958,15366400
2020-08-21,4.940000,5.000000,4.940000,4.970000,4.949292,15015100
2020-08-24,5.060000,5.060000,5.000000,5.030000,5.009042,12604400
2020-08-25,5.060000,5.080000,5.000000,5.040000,5.019000,13587400
2020-08-26,5.050000,5.070000,5.020000,5.050000,5.028958,19752400
2020-08-27,5.020000,5.050000,4.960000,5.010000,4.989125,25348600
2020-08-28,4.990000,5.020000,4.930000,4.970000,4.949292,20820200
2020-08-31,4.940000,4.940000,4.860000,4.900000,4.879583,22437800
2020-09-01,4.850000,4.850000,4.680000,4.730000,4.710292,49143200
2020-09-02,4.750000,4.820000,4.700000,4.780000,4.760084,31895600
2020-09-03,4.710000,4.710000,4.470000,4.530000,4.511125,63168200
2020-09-04,4.520000,4.540000,4.360000,4.480000,4.461333,45584000
2020-09-08,4.200000,4.250000,4.100000,4.100000,4.082917,67144100
2020-09-09,4.190000,4.220000,4.130000,4.140000,4.122750,47162700
2020-09-10,4.190000,4.200000,4.080000,4.100000,4.082917,35018300
2020-09-11,4.130000,4.150000,4.060000,4.100000,4.082917,27316100
2020-09-14,4.140000,4.150000,4.070000,4.090000,4.072958,21318000
2020-09-15,4.200000,4.200000,4.130000,4.160000,4.142666,24076200
2020-09-16,4.180000,4.180000,4.110000,4.130000,4.112792,30873400
2020-09-17,4.080000,4.150000,4.070000,4.140000,4.122750,28414600
2020-09-18,4.100000,4.140000,4.040000,4.090000,4.072958,20339400
2020-09-21,3.950000,3.970000,3.880000,3.960000,3.943500,29189500
2020-09-22,3.960000,3.990000,3.900000,3.980000,3.963417,15175300
2020-09-23,3.970000,3.980000,3.870000,3.880000,3.863833,19322600
2020-09-24,3.850000,3.880000,3.810000,3.840000,3.824000,19266900
2020-09-25,3.780000,3.790000,3.720000,3.780000,3.764250,32637600
2020-09-28,3.850000,3.940000,3.830000,3.900000,3.883750,28025500
2020-09-29,3.960000,4.040000,3.930000,3.950000,3.933542,25047400
2020-09-30,3.950000,3.980000,3.900000,3.910000,3.893708,24780800
2020-10-01,3.910000,3.920000,3.840000,3.870000,3.853875,17028000
2020-10-02,3.800000,3.860000,3.800000,3.820000,3.804083,19307700
2020-10-05,3.950000,3.960000,3.880000,3.930000,3.913625,15811400
2020-10-06,3.980000,4.000000,3.870000,3.910000,3.893708,23824300
2020-10-07,3.900000,3.920000,3.860000,3.900000,3.883750,15216500
2020-10-08,3.900000,3.980000,3.890000,3.950000,3.933542,19386200
2020-10-09,4.070000,4.130000,4.020000,4.030000,4.013208,35552900
2020-10-12,4.050000,4.060000,4.010000,4.030000,4.013208,18341200
2020-10-13,4.070000,4.080000,4.010000,4.040000,4.023167,19771400
2020-10-14,4.050000,4.100000,4.030000,4.080000,4.063000,20957600
2020-10-15,3.990000,4.040000,3.980000,4.040000,4.023167,15456600
2020-10-16,4.040000,4.070000,4.020000,4.030000,4.013208,13355000
2020-10-19,4.130000,4.230000,4.120000,4.180000,4.162583,36642500
2020-10-20,4.280000,4.280000,4.170000,4.200000,4.182500,39536900
2020-10-21,4.270000,4.340000,4.220000,4.280000,4.262167,43146600
2020-10-22,4.300000,4.300000,4.190000,4.270000,4.252208,33773200
2020-10-23,4.250000,4.310000,4.220000,4.300000,4.282084,15898800
2020-10-26,4.300000,4.310000,4.180000,4.230000,4.212375,34590500
2020-10-27,4.210000,4.280000,4.210000,4.240000,4.222333,24062200
2020-10-28,4.050000,4.090000,4.000000,4.050000,4.033125,47238600
2020-10-29,3.440000,3.450000,3.210000,3.350000,3.336042,149133000
2020-10-30,3.380000,3.390000,3.320000,3.370000,3.355958,65867800
